id,latitude,longitude,municipality,name,town,website_link
83,45.81694444,15.09694444,Novo mesto,Grad Luknja,Prečna,https://sl.wikipedia.org/wiki/Grad_Luknja
84,46.39194444,15.36888889,Zreče,Grad Lušperk,Loška Gora pri Zrečah,https://sl.wikipedia.org/wiki/Grad_Lu%C5%A1perk
85,46.35108889,15.73554444,Majšperk,Grad Majšperk,Majšperk,https://sl.wikipedia.org/wiki/Grad_Maj%C5%A1perk
86,45.82305556,14.24694444,Postojna,Mali grad,Planina,"https://sl.wikipedia.org/wiki/Mali_grad,_Planina"
87,46.56111111,15.64888889,Maribor,Maribor (mestni grad),Maribor,https://sl.wikipedia.org/wiki/Mariborski_grad
88,46.14888889,14.92194444,Zagorje ob Savi,Grad Medija,Podlipovica,https://sl.wikipedia.org/wiki/Medijski_grad
89,45.73805556,15.20388889,Novo mesto,Grad Mehovo,Podgrad,https://sl.wikipedia.org/wiki/Grad_Mehovo
90,46.235,14.615,Kamnik,Grad Mekinje,Mekinje,https://sl.wikipedia.org/wiki/Grad_Mekinje
91,45.65111111,15.31805556,Metlika,Grad Metlika,Metlika,https://sl.wikipedia.org/wiki/Grad_Metlika
92,45.95805556,15.05388889,Mirna,Grad Mirna,Mirna,https://sl.wikipedia.org/wiki/Grad_Mirna
93,45.85805556,15.67611111,Brežice,Grad Mokrice,Rajec,https://sl.wikipedia.org/wiki/Grad_Mokrice
94,45.94196944,15.14544722,Mokronog - Trebelno,Grad Mokronog,Mokronog,https://sl.wikipedia.org/wiki/Grad_Mokronog
95,46.21533333,14.88747222,Kamnik,Grad Motnik,Motnik,https://sl.wikipedia.org/wiki/Grad_Motnik
96,46.66194444,16.16,Murska Sobota,Grad Murska Sobota,Murska Sobota,https://sl.wikipedia.org/wiki/Grad_Murska_Sobota
97,46.61305556,15.15,Muta,Grad Muta,Muta,https://sl.wikipedia.org/wiki/Grad_Muta
98,46.61111111,15.93694444,Gornja Radgona,Grad Negova,Negova,https://sl.wikipedia.org/wiki/Grad_Negova
99,46.20805556,14.98305556,Tabor,Grad Ojstrica,Loke,https://sl.wikipedia.org/wiki/Grad_Ojstrica
100,45.78271111,14.670475,Ribnica,Grad Ortnek,Ortnek,https://sl.wikipedia.org/wiki/Ortne%C5%A1ki_grad
101,46.06094444,14.63405556,Ljubljana,Grad Ostri vrh,Ljubljana,https://sl.wikipedia.org/wiki/Grad_Ostri_vrh
102,45.83805556,15.235,Novo mesto,Grad Otočec,Otočec,https://sl.wikipedia.org/wiki/Grad_Oto%C4%8Dec
103,46.335,15.03388889,Šmartno ob Paki,Grad Pakenštajn,Šmartno ob Paki,https://sl.wikipedia.org/wiki/Grad_Paken%C5%A1tajn
104,46.09694444,15.52388889,Kozje,Grad Pilštanj,Pilštanj,https://sl.wikipedia.org/wiki/Grad_Pil%C5%A1tanj
105,46.00611111,15.63694444,Brežice,Grad Pišece,Pišece,https://sl.wikipedia.org/wiki/Grad_Pi%C5%A1ece
106,46.10611111,15.40305556,Šentjur,Grad Planina,Planina pri Sevnici,https://sl.wikipedia.org/wiki/Grad_Planina
107,45.53111111,15.31305556,Črnomelj,Grad Pobrežje,Pobrežje,https://sl.wikipedia.org/wiki/Grad_Pobre%C5%BEje
108,46.15888889,15.59305556,Podčetrtek,Grad Podčetrtek,Podčetrtek,https://sl.wikipedia.org/wiki/Grad_Pod%C4%8Detrtek
109,46.021075,14.96296667,Litija,Grad Podpeč,Podpeč pod Skalo,https://sl.wikipedia.org/wiki/Grad_Podpe%C4%8D
110,46.02694444,15.58888889,Kozje,Grad Podsreda,Podsreda,https://sl.wikipedia.org/wiki/Grad_Podsreda
111,45.50362778,15.05538889,Kočevje,Grad Poljane,Predgrad,https://sl.wikipedia.org/wiki/Grad_Poljane
112,45.815,14.12805556,Postojna,Grad Predjama,Predjama,https://sl.wikipedia.org/wiki/Grad_Predjama
113,45.605,14.185,Ilirska Bistrica,Grad Prem,Prem,https://sl.wikipedia.org/wiki/Grad_Prem
114,45.795,15.325,Šentjernej,Grad Prežek,Cerov Log,https://sl.wikipedia.org/wiki/Grad_Pre%C5%BEek
115,46.42111111,15.86805556,Ptuj,Grad Ptuj,Ptuj,https://sl.wikipedia.org/wiki/Grad_Ptuj
116,46.59305556,15.04277778,Dravograd,Grad Pukštajn,Bukovje,https://sl.wikipedia.org/wiki/Grad_Puk%C5%A1tajn
117,46.06827778,15.1815,Radeče,Grad Radeče,Radeče,https://sl.wikipedia.org/wiki/Grad_Rade%C4%8De
118,46.61805556,15.22111111,Radlje ob Dravi,Grad Radlje,Radlje ob Dravi,https://sl.wikipedia.org/wiki/Grad_Radlje
119,45.98888889,15.46611111,Krško,Grad Rajhenburg,Brestanica,https://sl.wikipedia.org/wiki/Grad_Rajhenburg
120,45.92888889,15.38611111,Krško,Grad Raka,Raka,https://sl.wikipedia.org/wiki/Grad_Raka
121,45.96275,15.08763333,Šentrupert,Grad Rakovnik,Slovenska vas,"https://sl.wikipedia.org/wiki/Grad_Rakovnik,_%C5%A0entrupert"
122,45.99515833,15.2555,Sevnica,Grad Rekštanj,Laze pri Boštanju,https://sl.wikipedia.org/wiki/Grad_Rek%C5%A1tanj
123,46.04411389,15.48666111,Krško,Grad Reštanj,Reštanj,https://sl.wikipedia.org/wiki/Grad_Re%C5%A1tanj
124,45.73820306,14.7264,Ribnica,Grad Ribnica,Ribnica,https://sl.wikipedia.org/wiki/Grad_Ribnica
125,46.20194444,15.40305556,Šentjur,Grad Rifnik,Rifnik,https://sl.wikipedia.org/wiki/Grad_Rifnik
126,45.85084444,13.79208889,Nova Gorica,Grad Rihemberk,Branik,https://sl.wikipedia.org/wiki/Grad_Rihemberk
127,46.23111111,15.70111111,Rogatec,Grad Rogatec,Rogatec,https://sl.wikipedia.org/wiki/Grad_Rogatec
128,45.74111111,15.03805556,Dolenjske Toplice,Grad Rožek,Podturn pri Dolenjskih Toplicah,https://sl.wikipedia.org/wiki/Grad_Ro%C5%BEek_(Roseckh)
129,46.15222222,14.7325,Moravče,Grad Rožek,Vinje pri Moravčah,https://sl.wikipedia.org/wiki/Grad_Ro%C5%BEek_(Rudolfseck)
130,46.00805556,15.31388889,Sevnica,Grad Sevnica,Sevnica,https://sl.wikipedia.org/wiki/Grad_Sevnica
131,46.47611111,15.65,Šentjur,Grad Slivnica,Gorica pri Slivnici,https://sl.wikipedia.org/wiki/Grad_Slivnica_(Schleinitz)
132,46.50805556,15.06694444,Slovenj Gradec,Grad Slovenj Gradec,Slovenj Gradec,https://sl.wikipedia.org/wiki/Grad_Slovenj_Gradec
133,46.39388889,15.57111111,Slovenska Bistrica,Grad Slovenska Bistrica,Slovenska Bistrica,https://sl.wikipedia.org/wiki/Grad_Slovenska_Bistrica
134,46.165,14.44194444,Medvode,Grad Smlednik,Smlednik,https://sl.wikipedia.org/wiki/Grad_Smlednik
135,45.68305556,14.46888889,Loška dolina,Grad Snežnik,Kozarišče,https://sl.wikipedia.org/wiki/Grad_Sne%C5%BEnik
